disease,disease index,gene,gene index
glioma,30,6855,3985
hirschsprung disease,35,6855,3985
major depressive disorder,46,6855,3985
pancreatic ductal adenocarcinoma,59,6855,3985
prostate cancer,63,6855,3985
papillary thyroid carcinoma,60,6856,3986
acute promyelocytic leukemia,2,6857,3987
alzheimer's disease,4,6857,3987
atherosclerosis,5,6857,3987
cardiovascular disease,10,6857,3987
cervical cancer,11,6857,3987
diabetes mellitus,19,6857,3987
diabetic retinopathy,20,6857,3987
glioblastoma,28,6857,3987
glioblastoma multiforme,29,6857,3987
glioma,30,6857,3987
heart disease,31,6857,3987
hypertension,36,6857,3987
intervertebral disc degeneration,40,6857,3987
multiple sclerosis,48,6857,3987
myocardial infarction,50,6857,3987
osteoarthritis,55,6857,3987
osteosarcoma,56,6857,3987
pancreatic ductal adenocarcinoma,59,6857,3987
papillary thyroid carcinoma,60,6857,3987
rheumatoid arthritis,65,6857,3987
tuberculosis,69,6857,3987
diabetes mellitus,19,6860,3988
diabetes mellitus,19,6861,3989
alzheimer's disease,4,6863,3990
atherosclerosis,5,6863,3990
basal cell carcinoma,6,6863,3990
bladder cancer,7,6863,3990
cardiovascular disease,10,6863,3990
cholangiocarcinoma,13,6863,3990
diabetes mellitus,19,6863,3990
glioblastoma,28,6863,3990
glioblastoma multiforme,29,6863,3990
glioma,30,6863,3990
heart disease,31,6863,3990
hepatoblastoma,33,6863,3990
hypertension,36,6863,3990
intervertebral disc degeneration,40,6863,3990
major depressive disorder,46,6863,3990
multiple sclerosis,48,6863,3990
myocardial infarction,50,6863,3990
neuropathic pain,51,6863,3990
osteoarthritis,55,6863,3990
osteosarcoma,56,6863,3990
rheumatoid arthritis,65,6863,3990
alzheimer's disease,4,6865,3991
hypertension,36,6865,3991
rheumatoid arthritis,65,6865,3991
diabetes mellitus,19,6866,3992
multiple sclerosis,48,6866,3992
pre-eclampsia,61,6866,3992
glioblastoma,28,6867,3993
glioblastoma multiforme,29,6867,3993
alzheimer's disease,4,6868,3994
atherosclerosis,5,6868,3994
cardiovascular disease,10,6868,3994
cholangiocarcinoma,13,6868,3994
coronary artery disease,17,6868,3994
diabetes mellitus,19,6868,3994
esophageal cancer,23,6868,3994
glioblastoma,28,6868,3994
glioblastoma multiforme,29,6868,3994
glioma,30,6868,3994
heart disease,31,6868,3994
hepatocellular carcinoma,34,6868,3994
hypertension,36,6868,3994
lupus nephritis,45,6868,3994
multiple sclerosis,48,6868,3994
myocardial infarction,50,6868,3994
osteosarcoma,56,6868,3994
pancreatic ductal adenocarcinoma,59,6868,3994
rheumatoid arthritis,65,6868,3994
acute promyelocytic leukemia,2,6869,3995
bladder cancer,7,6869,3995
cardiovascular disease,10,6869,3995
diabetes mellitus,19,6869,3995
glioblastoma,28,6869,3995
glioblastoma multiforme,29,6869,3995
glioma,30,6869,3995
hepatoblastoma,33,6869,3995
hypertension,36,6869,3995
major depressive disorder,46,6869,3995
osteoarthritis,55,6869,3995
osteosarcoma,56,6869,3995
rheumatoid arthritis,65,6869,3995
diabetes mellitus,19,6870,3996
rheumatoid arthritis,65,6870,3996
coronary artery disease,17,6871,3997
diabetes mellitus,19,6871,3997
heart disease,31,6871,3997
diabetes mellitus,19,6872,3998
myocardial infarction,50,6874,3999
atherosclerosis,5,6876,4000
bladder cancer,7,6876,4000
cardiovascular disease,10,6876,4000
diabetes mellitus,19,6876,4000
heart disease,31,6876,4000
hepatocellular carcinoma,34,6876,4000
hypertension,36,6876,4000
osteosarcoma,56,6876,4000
rheumatoid arthritis,65,6876,4000
alzheimer's disease,4,6885,4001
atherosclerosis,5,6885,4001
cervical cancer,11,6885,4001
glioblastoma,28,6885,4001
glioblastoma multiforme,29,6885,4001
hypertension,36,6885,4001
multiple sclerosis,48,6885,4001
osteosarcoma,56,6885,4001
papillary thyroid carcinoma,60,6885,4001
rheumatoid arthritis,65,6885,4001
tuberculosis,69,6885,4001
cardiovascular disease,10,6886,4002
diabetes mellitus,19,6886,4002
glioma,30,6886,4002
major depressive disorder,46,6886,4002
osteosarcoma,56,6886,4002
rheumatoid arthritis,65,6886,4002
diabetes mellitus,19,6888,4003
multiple sclerosis,48,6888,4003
cervical cancer,11,6890,4004
diabetes mellitus,19,6890,4004
glioblastoma,28,6890,4004
glioblastoma multiforme,29,6890,4004
glioma,30,6890,4004
multiple sclerosis,48,6890,4004
pancreatic ductal adenocarcinoma,59,6890,4004
pre-eclampsia,61,6890,4004
rheumatoid arthritis,65,6890,4004
tuberculosis,69,6890,4004
alzheimer's disease,4,6891,4005
cervical cancer,11,6891,4005
cholangiocarcinoma,13,6891,4005
diabetes mellitus,19,6891,4005
multiple sclerosis,48,6891,4005
pre-eclampsia,61,6891,4005
rheumatoid arthritis,65,6891,4005
tuberculosis,69,6891,4005
cervical cancer,11,6892,4006
diabetes mellitus,19,6892,4006
glioblastoma,28,6892,4006
glioblastoma multiforme,29,6892,4006
rheumatoid arthritis,65,6892,4006
alzheimer's disease,4,6895,4007
breast cancer,9,6895,4007
alzheimer's disease,4,6898,4008
cardiovascular disease,10,6898,4008
cervical cancer,11,6898,4008
diabetes mellitus,19,6898,4008
essential hypertension,25,6898,4008
glioblastoma,28,6898,4008
glioblastoma multiforme,29,6898,4008
glioma,30,6898,4008
hepatoblastoma,33,6898,4008
hypertension,36,6898,4008
lupus nephritis,45,6898,4008
osteosarcoma,56,6898,4008
pancreatic ductal adenocarcinoma,59,6898,4008
rheumatoid arthritis,65,6898,4008
tuberculosis,69,6898,4008
acne,0,6899,4009
basal cell carcinoma,6,6899,4009
diabetes mellitus,19,6899,4009
essential hypertension,25,6899,4009
glioma,30,6899,4009
heart disease,31,6899,4009
hirschsprung disease,35,6899,4009
hypertension,36,6899,4009
myocardial infarction,50,6899,4009
osteoarthritis,55,6899,4009
papillary thyroid carcinoma,60,6899,4009
rheumatoid arthritis,65,6899,4009
alzheimer's disease,4,6900,4010
glioblastoma,28,6900,4010
glioblastoma multiforme,29,6900,4010
glioma,30,6900,4010
osteosarcoma,56,6900,4010
rheumatoid arthritis,65,6900,4010
atherosclerosis,5,6901,4011
basal cell carcinoma,6,6901,4011
cholangiocarcinoma,13,6901,4011
dilated cardiomyopathy,21,6901,4011
glioblastoma,28,6901,4011
glioblastoma multiforme,29,6901,4011
glioma,30,6901,4011
hepatoblastoma,33,6901,4011
hypertrophic cardiomyopathy,37,6901,4011
nonalcoholic steatohepatitis,52,6901,4011
osteosarcoma,56,6901,4011
hypertrophic cardiomyopathy,37,6902,4012
rheumatoid arthritis,65,6902,4012
tuberculosis,69,6902,4012
heart disease,31,6903,4013
cholangiocarcinoma,13,6906,4014
diabetes mellitus,19,6906,4014
hepatoblastoma,33,6906,4014
oral squamous cell carcinoma,54,6906,4014
osteosarcoma,56,6907,4015
alzheimer's disease,4,6908,4016
cervical cancer,11,6908,4016
diabetes mellitus,19,6908,4016
glioblastoma,28,6908,4016
glioblastoma multiforme,29,6908,4016
alzheimer's disease,4,6909,4017
glioblastoma,28,6909,4017
glioblastoma multiforme,29,6909,4017
heart disease,31,6909,4017
osteosarcoma,56,6909,4017
coronary artery disease,17,6910,4018
heart disease,31,6910,4018
myocardial infarction,50,6910,4018
osteosarcoma,56,6910,4018
rheumatoid arthritis,65,6910,4018
atherosclerosis,5,6915,4019
coronary artery disease,17,6915,4019
diabetes mellitus,19,6915,4019
myocardial infarction,50,6915,4019
atherosclerosis,5,6916,4020
cardiovascular disease,10,6916,4020
myocardial infarction,50,6916,4020
rheumatoid arthritis,65,6917,4021
acute myeloid leukemia,1,6919,4022
alzheimer's disease,4,6921,4023
prostate cancer,63,6921,4023
alzheimer's disease,4,6925,4024
breast cancer,9,6925,4024
cervical cancer,11,6925,4024
cholangiocarcinoma,13,6925,4024
diabetes mellitus,19,6925,4024
glioblastoma,28,6925,4024
glioblastoma multiforme,29,6925,4024
glioma,30,6925,4024
heart disease,31,6925,4024
hirschsprung disease,35,6925,4024
hypertension,36,6925,4024
major depressive disorder,46,6925,4024
osteosarcoma,56,6925,4024
papillary thyroid carcinoma,60,6925,4024
prostate cancer,63,6925,4024
cholangiocarcinoma,13,6926,4025
colorectal cancer,16,6926,4025
gastric cancer,26,6926,4025
heart disease,31,6926,4025
hepatoblastoma,33,6926,4025
myocardial infarction,50,6926,4025
pancreatic ductal adenocarcinoma,59,6926,4025
papillary thyroid carcinoma,60,6926,4025
rheumatoid arthritis,65,6926,4025
atherosclerosis,5,6927,4026
cardiovascular disease,10,6927,4026
cervical cancer,11,6927,4026
coronary artery disease,17,6927,4026
diabetes mellitus,19,6927,4026
diabetic retinopathy,20,6927,4026
glioblastoma,28,6927,4026
glioblastoma multiforme,29,6927,4026
heart disease,31,6927,4026
hepatoblastoma,33,6927,4026
hepatocellular carcinoma,34,6927,4026
hypertension,36,6927,4026
osteosarcoma,56,6927,4026
pancreatic ductal adenocarcinoma,59,6927,4026
prostate cancer,63,6927,4026
colorectal cancer,16,6928,4027
diabetes mellitus,19,6928,4027
prostate cancer,63,6928,4027
tuberculosis,69,6928,4027
alzheimer's disease,4,6929,4028
cervical cancer,11,6929,4028
diabetes mellitus,19,6929,4028
glioblastoma,28,6929,4028
glioblastoma multiforme,29,6929,4028
glioma,30,6929,4028
major depressive disorder,46,6929,4028
osteosarcoma,56,6929,4028
pancreatic ductal adenocarcinoma,59,6929,4028
rheumatoid arthritis,65,6929,4028
cervical cancer,11,6932,4029
cholangiocarcinoma,13,6932,4029
diabetes mellitus,19,6932,4029
glioblastoma,28,6932,4029
glioblastoma multiforme,29,6932,4029
osteosarcoma,56,6932,4029
prostate cancer,63,6932,4029
alzheimer's disease,4,6934,4030
atherosclerosis,5,6934,4030
basal cell carcinoma,6,6934,4030
breast cancer,9,6934,4030
cardiovascular disease,10,6934,4030
cervical cancer,11,6934,4030
colorectal cancer,16,6934,4030
coronary artery disease,17,6934,4030
diabetes mellitus,19,6934,4030
diabetic retinopathy,20,6934,4030
glioma,30,6934,4030
heart disease,31,6934,4030
intervertebral disc degeneration,40,6934,4030
major depressive disorder,46,6934,4030
nonalcoholic steatohepatitis,52,6934,4030
papillary thyroid carcinoma,60,6934,4030
prostate cancer,63,6934,4030
rheumatoid arthritis,65,6934,4030
type 2 diabetes mellitus,70,6934,4030
atherosclerosis,5,6935,4031
bladder cancer,7,6935,4031
breast cancer,9,6935,4031
cervical cancer,11,6935,4031
cholangiocarcinoma,13,6935,4031
colorectal cancer,16,6935,4031
diabetes mellitus,19,6935,4031
glioblastoma,28,6935,4031
glioblastoma multiforme,29,6935,4031
glioma,30,6935,4031
hepatoblastoma,33,6935,4031
lung cancer,44,6935,4031
multiple sclerosis,48,6935,4031
myocardial infarction,50,6935,4031
non-small cell lung cancer,53,6935,4031
osteosarcoma,56,6935,4031
pancreatic ductal adenocarcinoma,59,6935,4031
papillary thyroid carcinoma,60,6935,4031
prostate cancer,63,6935,4031
silicosis,66,6935,4031
myocardial infarction,50,6936,4032
rheumatoid arthritis,65,6936,4032
bladder cancer,7,6938,4033
cervical cancer,11,6938,4033
colorectal cancer,16,6938,4033
glioma,30,6938,4033
hypertension,36,6938,4033
osteosarcoma,56,6938,4033
atherosclerosis,5,6939,4034
heart disease,31,6939,4034
diabetes mellitus,19,6941,4035
multiple sclerosis,48,6941,4035
rheumatoid arthritis,65,6941,4035
atherosclerosis,5,6943,4036
cholangiocarcinoma,13,6943,4036
coronary artery disease,17,6943,4036
diabetes mellitus,19,6943,4036
heart disease,31,6943,4036
osteoarthritis,55,6943,4036
osteosarcoma,56,6943,4036
glioma,30,6944,4037
diabetes mellitus,19,6945,4038
heart disease,31,6945,4038
hypertension,36,6945,4038
hypertrophic cardiomyopathy,37,6945,4038
myocardial infarction,50,6945,4038
alzheimer's disease,4,6948,4039
coronary artery disease,17,6948,4039
glioblastoma,28,6948,4039
glioblastoma multiforme,29,6948,4039
heart disease,31,6948,4039
moyamoya disease,47,6948,4039
rheumatoid arthritis,65,6948,4039
hirschsprung disease,35,6949,4040
tuberculosis,69,6949,4040
alzheimer's disease,4,6950,4041
coronary artery disease,17,6950,4041
diabetes mellitus,19,6950,4041
glioblastoma,28,6950,4041
glioblastoma multiforme,29,6950,4041
heart disease,31,6950,4041
myocardial infarction,50,6950,4041
osteoarthritis,55,6950,4041
cardiovascular disease,10,6955,4042
diabetes mellitus,19,6955,4042
glioma,30,6955,4042
multiple sclerosis,48,6955,4042
myocardial infarction,50,6955,4042
rheumatoid arthritis,65,6955,4042
rheumatoid arthritis,65,6956,4043
diabetes mellitus,19,6957,4044
multiple sclerosis,48,6957,4044
rheumatoid arthritis,65,6957,4044
acute promyelocytic leukemia,2,6962,4045
alzheimer's disease,4,6962,4045
atherosclerosis,5,6962,4045
cervical cancer,11,6962,4045
diabetes mellitus,19,6962,4045
glioblastoma,28,6962,4045
glioblastoma multiforme,29,6962,4045
glioma,30,6962,4045
lupus nephritis,45,6962,4045
multiple sclerosis,48,6962,4045
rheumatoid arthritis,65,6962,4045
tuberculosis,69,6962,4045
diabetes mellitus,19,6964,4046
major depressive disorder,46,6964,4046
rheumatoid arthritis,65,6964,4046
tuberculosis,69,6964,4046
diabetes mellitus,19,6965,4047
rheumatoid arthritis,65,6965,4047
diabetes mellitus,19,6966,4048
rheumatoid arthritis,65,6966,4048
cholangiocarcinoma,13,6991,4049
cholangiocarcinoma,13,6992,4050
glioblastoma,28,6992,4050
glioblastoma multiforme,29,6992,4050
myocardial infarction,50,6992,4050
osteosarcoma,56,6992,4050
rheumatoid arthritis,65,6992,4050
hypertension,36,6993,4051
glioblastoma,28,6997,4052
glioblastoma multiforme,29,6997,4052
heart disease,31,6997,4052
rheumatoid arthritis,65,6997,4052
diabetes mellitus,19,6998,4053
glioblastoma,28,6998,4053
glioblastoma multiforme,29,6998,4053
rheumatoid arthritis,65,6998,4053
alzheimer's disease,4,6999,4054
atherosclerosis,5,6999,4054
basal cell carcinoma,6,6999,4054
cervical cancer,11,6999,4054
diabetes mellitus,19,6999,4054
glioblastoma,28,6999,4054
glioblastoma multiforme,29,6999,4054
major depressive disorder,46,6999,4054
multiple sclerosis,48,6999,4054
pre-eclampsia,61,6999,4054
alzheimer's disease,4,7001,4055
diabetes mellitus,19,7001,4055
glioblastoma,28,7001,4055
glioblastoma multiforme,29,7001,4055
glioma,30,7001,4055
hypertension,36,7001,4055
multiple sclerosis,48,7001,4055
myocardial infarction,50,7001,4055
osteoarthritis,55,7001,4055
osteosarcoma,56,7001,4055
prostate cancer,63,7001,4055
rheumatoid arthritis,65,7001,4055
tuberculosis,69,7001,4055
essential hypertension,25,7003,4056
glioblastoma,28,7003,4056
glioblastoma multiforme,29,7003,4056
glioma,30,7003,4056
hypertension,36,7003,4056
osteosarcoma,56,7003,4056
pancreatic ductal adenocarcinoma,59,7003,4056
glioblastoma,28,7004,4057
glioblastoma multiforme,29,7004,4057
hepatoblastoma,33,7004,4057
rheumatoid arthritis,65,7006,4058
heart disease,31,7008,4059
major depressive disorder,46,7008,4059
multiple sclerosis,48,7008,4059
rheumatoid arthritis,65,7008,4059
nonalcoholic steatohepatitis,52,7009,4060
atherosclerosis,5,7010,4061
basal cell carcinoma,6,7010,4061
breast cancer,9,7010,4061
cervical cancer,11,7010,4061
cholangiocarcinoma,13,7010,4061
coronary artery disease,17,7010,4061
diabetes mellitus,19,7010,4061
diabetic retinopathy,20,7010,4061
glioblastoma,28,7010,4061
glioblastoma multiforme,29,7010,4061
glioma,30,7010,4061
hepatoblastoma,33,7010,4061
hypertension,36,7010,4061
myocardial infarction,50,7010,4061
papillary thyroid carcinoma,60,7010,4061
pre-eclampsia,61,7010,4061
rheumatoid arthritis,65,7010,4061
silicosis,66,7010,4061
tuberculosis,69,7010,4061
cholangiocarcinoma,13,7011,4062
diabetes mellitus,19,7011,4062
glioblastoma,28,7011,4062
glioblastoma multiforme,29,7011,4062
glioma,30,7011,4062
hepatoblastoma,33,7011,4062
prostate cancer,63,7011,4062
rheumatoid arthritis,65,7011,4062
acute promyelocytic leukemia,2,7012,4063
alzheimer's disease,4,7012,4063
cardiovascular disease,10,7012,4063
cervical cancer,11,7012,4063
coronary artery disease,17,7012,4063
diabetes mellitus,19,7012,4063
glioma,30,7012,4063
heart disease,31,7012,4063
hypertension,36,7012,4063
multiple sclerosis,48,7012,4063
papillary thyroid carcinoma,60,7012,4063
tuberculosis,69,7012,4063
acute myeloid leukemia,1,7013,4064
alzheimer's disease,4,7013,4064
cardiovascular disease,10,7013,4064
coronary artery disease,17,7013,4064
diabetes mellitus,19,7013,4064
glioblastoma,28,7013,4064
glioblastoma multiforme,29,7013,4064
glioma,30,7013,4064
heart disease,31,7013,4064
osteosarcoma,56,7013,4064
alzheimer's disease,4,7014,4065
cardiovascular disease,10,7014,4065
cervical cancer,11,7014,4065
coronary artery disease,17,7014,4065
diabetes mellitus,19,7014,4065
glioblastoma,28,7014,4065
glioblastoma multiforme,29,7014,4065
osteosarcoma,56,7014,4065
rheumatoid arthritis,65,7014,4065
acute myeloid leukemia,1,7015,4066
acute promyelocytic leukemia,2,7015,4066
alzheimer's disease,4,7015,4066
atherosclerosis,5,7015,4066
basal cell carcinoma,6,7015,4066
bladder cancer,7,7015,4066
breast cancer,9,7015,4066
cardiovascular disease,10,7015,4066
cervical cancer,11,7015,4066
cholangiocarcinoma,13,7015,4066
coronary artery disease,17,7015,4066
diabetes mellitus,19,7015,4066
glioblastoma,28,7015,4066
glioblastoma multiforme,29,7015,4066
glioma,30,7015,4066
heart disease,31,7015,4066
hepatoblastoma,33,7015,4066
hepatocellular carcinoma,34,7015,4066
hypertension,36,7015,4066
lung cancer,44,7015,4066
major depressive disorder,46,7015,4066
myocardial infarction,50,7015,4066
non-small cell lung cancer,53,7015,4066
osteosarcoma,56,7015,4066
papillary thyroid carcinoma,60,7015,4066
prostate cancer,63,7015,4066
rheumatoid arthritis,65,7015,4066
tuberculosis,69,7015,4066
alzheimer's disease,4,7018,4067
cholangiocarcinoma,13,7018,4067
diabetes mellitus,19,7018,4067
glioblastoma,28,7018,4067
glioblastoma multiforme,29,7018,4067
glioma,30,7018,4067
rheumatoid arthritis,65,7018,4067
tuberculosis,69,7018,4067
alzheimer's disease,4,7019,4068
atherosclerosis,5,7019,4068
breast cancer,9,7019,4068
diabetes mellitus,19,7019,4068
glioblastoma,28,7019,4068
glioblastoma multiforme,29,7019,4068
glioma,30,7019,4068
hepatic steatosis,32,7019,4068
myocardial infarction,50,7019,4068
pancreatic ductal adenocarcinoma,59,7019,4068
atherosclerosis,5,7020,4069
cholangiocarcinoma,13,7020,4069
diabetes mellitus,19,7020,4069
glioblastoma,28,7020,4069
glioma,30,7020,4069
intervertebral disc degeneration,40,7020,4069
pancreatic ductal adenocarcinoma,59,7020,4069
papillary thyroid carcinoma,60,7020,4069
prostate cancer,63,7020,4069
breast cancer,9,7021,4070
coronary artery disease,17,7021,4070
diabetes mellitus,19,7021,4070
heart disease,31,7021,4070
breast cancer,9,7022,4071
gastric cancer,26,7022,4071
glioma,30,7022,4071
pancreatic ductal adenocarcinoma,59,7022,4071
alzheimer's disease,4,7024,4072
major depressive disorder,46,7024,4072
osteosarcoma,56,7025,4073
rheumatoid arthritis,65,7025,4073
atherosclerosis,5,7026,4074
diabetes mellitus,19,7026,4074
glioblastoma,28,7026,4074
glioblastoma multiforme,29,7026,4074
glioma,30,7026,4074
heart disease,31,7026,4074
alzheimer's disease,4,7027,4075
cholangiocarcinoma,13,7027,4075
glioblastoma,28,7027,4075
glioblastoma multiforme,29,7027,4075
rheumatoid arthritis,65,7027,4075
diabetes mellitus,19,7030,4076
papillary thyroid carcinoma,60,7030,4076
alzheimer's disease,4,7031,4077
cholangiocarcinoma,13,7031,4077
coronary artery disease,17,7031,4077
gastric cancer,26,7031,4077
myocardial infarction,50,7031,4077
pancreatic ductal adenocarcinoma,59,7031,4077
rheumatoid arthritis,65,7031,4077
cholangiocarcinoma,13,7032,4078
gastric cancer,26,7032,4078
rheumatoid arthritis,65,7032,4078
alzheimer's disease,4,7033,4079
breast cancer,9,7033,4079
cervical cancer,11,7033,4079
diabetes mellitus,19,7033,4079
gastric cancer,26,7033,4079
glioblastoma,28,7033,4079
glioblastoma multiforme,29,7033,4079
glioma,30,7033,4079
myocardial infarction,50,7033,4079
nonalcoholic steatohepatitis,52,7033,4079
papillary thyroid carcinoma,60,7033,4079
prostate cancer,63,7033,4079
rheumatoid arthritis,65,7033,4079
atherosclerosis,5,7035,4080
cardiovascular disease,10,7035,4080
coronary artery disease,17,7035,4080
diabetes mellitus,19,7035,4080
heart disease,31,7035,4080
hypertension,36,7035,4080
hypertrophic cardiomyopathy,37,7035,4080
lupus nephritis,45,7035,4080
multiple sclerosis,48,7035,4080
myocardial infarction,50,7035,4080
pre-eclampsia,61,7035,4080
prostate cancer,63,7035,4080
tuberculosis,69,7035,4080
cardiovascular disease,10,7036,4081
coronary artery disease,17,7036,4081
glioblastoma,28,7036,4081
glioblastoma multiforme,29,7036,4081
heart disease,31,7036,4081
acute promyelocytic leukemia,2,7037,4082
alzheimer's disease,4,7037,4082
atherosclerosis,5,7037,4082
cardiovascular disease,10,7037,4082
cervical cancer,11,7037,4082
cholangiocarcinoma,13,7037,4082
diabetes mellitus,19,7037,4082
gastric cancer,26,7037,4082
glioblastoma,28,7037,4082
glioblastoma multiforme,29,7037,4082
glioma,30,7037,4082
hepatoblastoma,33,7037,4082
osteosarcoma,56,7037,4082
diabetes mellitus,19,7038,4083
major depressive disorder,46,7038,4083
papillary thyroid carcinoma,60,7038,4083
rheumatoid arthritis,65,7038,4083
acne,0,7039,4084
acute promyelocytic leukemia,2,7039,4084
cervical cancer,11,7039,4084
cholangiocarcinoma,13,7039,4084
diabetes mellitus,19,7039,4084
gastric cancer,26,7039,4084
glioblastoma,28,7039,4084
glioblastoma multiforme,29,7039,4084
glioma,30,7039,4084
hepatoblastoma,33,7039,4084
hypertension,36,7039,4084
lung cancer,44,7039,4084
multiple sclerosis,48,7039,4084
non-small cell lung cancer,53,7039,4084
osteoarthritis,55,7039,4084
osteosarcoma,56,7039,4084
pancreatic ductal adenocarcinoma,59,7039,4084
papillary thyroid carcinoma,60,7039,4084
rheumatoid arthritis,65,7039,4084
tuberculosis,69,7039,4084
acute myeloid leukemia,1,7040,4085
acute promyelocytic leukemia,2,7040,4085
alzheimer's disease,4,7040,4085
atherosclerosis,5,7040,4085
basal cell carcinoma,6,7040,4085
bladder cancer,7,7040,4085
breast cancer,9,7040,4085
cardiovascular disease,10,7040,4085
cervical cancer,11,7040,4085
cervical carcinoma,12,7040,4085
cholangiocarcinoma,13,7040,4085
colon cancer,15,7040,4085
colorectal cancer,16,7040,4085
coronary artery disease,17,7040,4085
diabetes mellitus,19,7040,4085
diabetic retinopathy,20,7040,4085
essential hypertension,25,7040,4085
gastric cancer,26,7040,4085
glioblastoma,28,7040,4085
glioblastoma multiforme,29,7040,4085
glioma,30,7040,4085
heart disease,31,7040,4085
hepatoblastoma,33,7040,4085
hepatocellular carcinoma,34,7040,4085
hypertension,36,7040,4085
hypertrophic cardiomyopathy,37,7040,4085
intervertebral disc degeneration,40,7040,4085
lung cancer,44,7040,4085
lupus nephritis,45,7040,4085
major depressive disorder,46,7040,4085
moyamoya disease,47,7040,4085
multiple sclerosis,48,7040,4085
myocardial infarction,50,7040,4085
nonalcoholic steatohepatitis,52,7040,4085
osteoarthritis,55,7040,4085
osteosarcoma,56,7040,4085
pancreatic ductal adenocarcinoma,59,7040,4085
papillary thyroid carcinoma,60,7040,4085
pre-eclampsia,61,7040,4085
prostate cancer,63,7040,4085
rheumatoid arthritis,65,7040,4085
silicosis,66,7040,4085
tuberculosis,69,7040,4085
atherosclerosis,5,7041,4086
osteosarcoma,56,7041,4086
prostate cancer,63,7041,4086
alzheimer's disease,4,7042,4087
atherosclerosis,5,7042,4087
basal cell carcinoma,6,7042,4087
cholangiocarcinoma,13,7042,4087
diabetes mellitus,19,7042,4087
diabetic retinopathy,20,7042,4087
glioblastoma,28,7042,4087
glioblastoma multiforme,29,7042,4087
glioma,30,7042,4087
heart disease,31,7042,4087
hypertension,36,7042,4087
multiple sclerosis,48,7042,4087
myocardial infarction,50,7042,4087
osteosarcoma,56,7042,4087
rheumatoid arthritis,65,7042,4087
alzheimer's disease,4,7043,4088
basal cell carcinoma,6,7043,4088
cholangiocarcinoma,13,7043,4088
diabetes mellitus,19,7043,4088
glioblastoma,28,7043,4088
hypertension,36,7043,4088
multiple sclerosis,48,7043,4088
myocardial infarction,50,7043,4088
rheumatoid arthritis,65,7043,4088
heart disease,31,7044,4089
alzheimer's disease,4,7045,4090
atherosclerosis,5,7045,4090
breast cancer,9,7045,4090
cholangiocarcinoma,13,7045,4090
coronary artery disease,17,7045,4090
diabetes mellitus,19,7045,4090
glioblastoma,28,7045,4090
glioblastoma multiforme,29,7045,4090
glioma,30,7045,4090
heart disease,31,7045,4090
lung cancer,44,7045,4090
non-small cell lung cancer,53,7045,4090
osteosarcoma,56,7045,4090
pancreatic ductal adenocarcinoma,59,7045,4090
prostate cancer,63,7045,4090
rheumatoid arthritis,65,7045,4090
alzheimer's disease,4,7046,4091
basal cell carcinoma,6,7046,4091
breast cancer,9,7046,4091
cardiovascular disease,10,7046,4091
cervical cancer,11,7046,4091
diabetes mellitus,19,7046,4091
glioblastoma,28,7046,4091
glioblastoma multiforme,29,7046,4091
hepatocellular carcinoma,34,7046,4091
hypertension,36,7046,4091
multiple sclerosis,48,7046,4091
myocardial infarction,50,7046,4091
osteoarthritis,55,7046,4091
osteosarcoma,56,7046,4091
pancreatic ductal adenocarcinoma,59,7046,4091
papillary thyroid carcinoma,60,7046,4091
prostate cancer,63,7046,4091
rheumatoid arthritis,65,7046,4091
tuberculosis,69,7046,4091
alzheimer's disease,4,7048,4092
basal cell carcinoma,6,7048,4092
bladder cancer,7,7048,4092
breast cancer,9,7048,4092
cardiovascular disease,10,7048,4092
cervical cancer,11,7048,4092
cholangiocarcinoma,13,7048,4092
colorectal cancer,16,7048,4092
coronary artery disease,17,7048,4092
diabetes mellitus,19,7048,4092
essential hypertension,25,7048,4092
gastric cancer,26,7048,4092
glioblastoma,28,7048,4092
glioblastoma multiforme,29,7048,4092
glioma,30,7048,4092
heart disease,31,7048,4092
hepatoblastoma,33,7048,4092
hypertension,36,7048,4092
myocardial infarction,50,7048,4092
pancreatic ductal adenocarcinoma,59,7048,4092
papillary thyroid carcinoma,60,7048,4092
prostate cancer,63,7048,4092
tuberculosis,69,7048,4092
atherosclerosis,5,7049,4093
cholangiocarcinoma,13,7049,4093
diabetes mellitus,19,7049,4093
hypertension,36,7049,4093
myocardial infarction,50,7049,4093
osteoarthritis,55,7049,4093
osteosarcoma,56,7049,4093
pancreatic ductal adenocarcinoma,59,7049,4093
moyamoya disease,47,7050,4094
pancreatic ductal adenocarcinoma,59,7050,4094
rheumatoid arthritis,65,7050,4094
acne,0,7051,4095
acute promyelocytic leukemia,2,7051,4095
alzheimer's disease,4,7051,4095
acute promyelocytic leukemia,2,7052,4096
alzheimer's disease,4,7052,4096
atherosclerosis,5,7052,4096
bladder cancer,7,7052,4096
cholangiocarcinoma,13,7052,4096
coronary artery disease,17,7052,4096
diabetes mellitus,19,7052,4096
glioblastoma,28,7052,4096
glioblastoma multiforme,29,7052,4096
glioma,30,7052,4096
heart disease,31,7052,4096
hypertension,36,7052,4096
multiple sclerosis,48,7052,4096
myocardial infarction,50,7052,4096
nonalcoholic steatohepatitis,52,7052,4096
osteoarthritis,55,7052,4096
osteosarcoma,56,7052,4096
pancreatic ductal adenocarcinoma,59,7052,4096
prostate cancer,63,7052,4096
rheumatoid arthritis,65,7052,4096
basal cell carcinoma,6,7053,4097
alzheimer's disease,4,7054,4098
cardiovascular disease,10,7054,4098
